BodyName,Ad,Ag,Al,Ar,Au,Be,C6Hn,Cl,Co,Cs,Cu,Dy,Eu,F,Fe,H2O,He-3,Hg,HnCn,Ie,IL,Ir,Li,Nd,Ne,Ni,Pb,Pd,Pt,Pu,R-COC,Rc,Sb,SiH3Cl,Ta,Ti,Tsn,U,V,Vr,Vy,W,Xe,xF4,Yb
Carinae V-b,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Carinae V-c,,,,,,,,X,,,,,,,,X,,,,,,,,,,X,X,X,,,,,,X,,,,,,,,X,X,,
Cassiopeia I,,,,,,,,X,X,,X,,,X,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Cassiopeia II,,,,,,,,X,X,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,
Cassiopeia II-a,,,,,,,,X,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,X,,,,X,,,,X,,,
Cassiopeia III,,,,,,,,X,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,
Cassiopeia III-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassiopeia IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassiopeia IV-a,,,,,,,,X,,,,,,,X,X,,,X,,,X,,,,X,,,,,,,,,X,,,X,,,,,,,
Cassiopeia IV-b,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Cassiopeia IV-c,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,
Kapteyn I,,,X,,,,,,,,,,,,,X,X,,,,,,,,,X,X,,X,,,,,,,,,X,X,,,,,,
Kapteyn II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nesoi,,,,X,,,X,,,,,,,,X,X,,,,,,X,,,,,,,,,X,,,,X,,,X,,,,,,,
Ananke,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ourea,,,,X,,,X,,,,X,,,,,X,,,,,,X,,,,,,,,,X,,,,,,,X,X,,,,,,
Thanatos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypnos,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erebus,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,
Pontus,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalassa,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orphius,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dionysus,,,,,,,X,X,,,,,,,X,X,,,X,,,,,,,X,X,,,,,,,,,,,X,,,,,,,
Mithras,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,
Cybele,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi I,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Piazzi II,,,,,,,,X,X,,X,,,X,,X,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,
Piazzi III,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi III-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi III-b,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Piazzi IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi IV-a,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi IV-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi IV-c,,,,,,,,X,,,X,,,X,,X,,,,,,,,,,X,,X,,,,,,X,,,,,,,,,X,,
Piazzi V,,,,,,,,,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi V-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi V-b,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Piazzi V-c,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi VI,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi VI-a,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi VI-b,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi VI-c,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Piazzi VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi VII-a,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi VII-b,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piazzi VII-c,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Procyon I,,,,,,,,X,,,X,,,X,,,,,,,,X,,,,,X,,,,,,,X,,,,X,,,,X,,,
Procyon I-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procyon II,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,,,,,,,,,
Procyon III,,,,X,,,,,,,X,,,X,,X,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,X,
Procyon III-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procyon IV,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,
Procyon IV-a,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procyon V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procyon V-a,,,,,,,,,X,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Procyon V-b,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Procyon V-c,,,,X,,,X,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Procyon VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procyon VI-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procyon VI-b,,,,X,,,X,,,,,,,,X,X,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,
Procyon VI-c,,,,,,,,,,,X,,,,X,X,,,X,,,,,,,X,,,,,,,,,,,,X,,,,,,,
Tau Ceti I,,,,,,,,,,,X,,,,X,,X,,,,,,,,,X,,X,X,,,,,,,,,X,X,,,,,,
Tau Ceti II,,,,X,,,X,,,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Tau Ceti II-a,,,X,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Tau Ceti III,,,,,,,,X,,,X,,,,X,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,X,
Tau Ceti IV,,,,,,,,X,,,X,,,X,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,
Tau Ceti IV-a,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tau Ceti IV-b,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tau Ceti V,,,,,,,,,X,,,,,,X,X,,,X,,,,,,,X,,X,X,,,,,,,,,,,,,,,,X
Tau Ceti VI,,,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Tau Ceti VI-a,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Tau Ceti VII,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tau Ceti VII-a,,,X,,,X,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tau Ceti VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tau Ceti VIII-a,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tau Ceti VIII-b,,,X,X,,,,X,,,,,,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,
Tau Ceti VIII-c,,,,,,,,X,,X,,,,,,X,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,
Tau Ceti VIII-d,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,
Tau Ceti IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pup I,,,,,,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Maanen I,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair I,,X,,,,,,,X,,,,,,,,,,,,,X,,,,X,X,,X,X,,,,,,,,X,,,,,,,
Altair II,,,,X,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
